region;prices
AT;0.07
AU;0.02
BE;0.06
BG;0.00
BR;0.01
CA;0.03
CH;0.17
CN;0.04
CY;0.08
CZ;0.08
DE;0.05
DK;0.05
EE;0.03
ES;0.08
FI;0.02
FR;0.06
GB;0.07
GR;0.07
HR;0.04
HU;0.06
ID;0.01
IE;0.07
IN;0.02
IT;0.11
JP;0.07
KR;0.03
LT;0.05
LU;0.25
LV;0.13
MT;0.14
MX;0.02
NL;0.11
NO;0.03
PL;0.02
PT;0.08
RO;0.04
RU;0.03
SE;0.02
SI;0.07
SK;0.14
TR;0.03
US;0.04
ZA;0.00
Europe without Switzerland;0.07
GLO;0.05
IAI Area, Asia, without China and GCC;0.05
IAI Area, EU27 & EFTA;0.08
IAI Area, Gulf Cooperation Council;0
IAI Area, Russia & RER w/o EU27 & EFTA;0.04
NORDEL;0.03
RAF;0.00
RAS;0.05
RER;0.08
RER w/o CH+DE;0.08
RER w/o DE+NL+NO;0.08
RER w/o DE+NL+RU;0.08
RLA;0.01
RNA;0.04
UCTE;0.08
UCTE without Germany;0.08
UN-OCEANIA;0.02
WEU;0.08
RoW_0;0.05
RoW_1;0.05
RoW_2;0.05
RoW_3;0.05
RoW_4;0.06
RoW_5;0.05
RoW_6;0.06
RoW_7;0.05
RoW_8;0.05
RoW_9;0.06
RoW_10;0.04
RoW_11;0.06
RoW_12;0.06
RoW_13;0.05
RoW_14;0.06
RoW_15;0.06
RoW_16;0.06
RoW_17;0.06
RoW_18;0.06
RoW_19;0.06
RoW_20;0.07
RoW_21;0.05
RoW_22;0.05
RoW_23;0.05
RoW_24;0.05
RoW_25;0.06
RoW_26;0.05
RoW_27;0.05
RoW_28;0.06
RoW_29;0.05
RoW_30;0.06
RoW_31;0.06
RoW_32;0.06
RoW_33;0.06
RoW_34;0.05
RoW_35;0.05
RoW_36;0.06
RoW_37;0.06
RoW_38;0.05
RoW_39;0.05
RoW_40;0.05
RoW_41;0.05
RoW_42;0.05
RoW_43;0.06
RoW_44;0.05
RoW_45;0.05
RoW_46;0.06
RoW_47;0.05
RoW_48;0.05
RoW_49;0.06
RoW_50;0.04
RoW_51;0.05
RoW_52;0.04
RoW_53;0.05
RoW_54;0.05
RoW_55;0.05
RoW_56;0.05
RoW_57;0.05
RoW_58;0.04
RoW_59;0.04
RoW_60;0.05
RoW_61;0.06
RoW_62;0.05
RoW_63;0.06
RoW_64;0.03
RoW_65;0.06
RoW_66;0.05
RoW_67;0.06
RoW_68;0.05
RoW_69;0.05
RoW_70;0.05
RoW_71;0.05
RoW_72;0.04
RoW_73;0.04
RoW_74;0.05
RoW_75;0.05
RoW_76;0.05
RoW_77;0.04
RoW_78;0.05
RoW_79;0.05
RoW_80;0.06
RoW_81;0.06
RoW_82;0.05
RoW_83;0.05
RoW_84;0.05
RoW_85;0.04
RoW_86;0.05
RoW_87;0.04
RoW_88;0.04
RoW_89;0.04
RoW_90;0.05
RoW_91;0.05
RoW_92;0.05
RoW_93;0.09
RoW_94;0.06
RoW_95;0.05
RoW_96;0.06
RoW_97;0.05
RoW_98;0.02
RoW_99;0.06
RoW_100;0.05
RoW_101;0.05
RoW_102;0.11
RoW_103;0.05
RoW_104;0.06
RoW_105;0.06
RoW_106;0.05
RoW_107;0.06
RoW_108;0.05
RoW_109;0.05
RoW_110;0.02
RoW_111;0.04
RoW_112;0
RoW_113;0.05
RoW_114;0.05
RoW_115;0.05
RoW_116;0.05
RoW_117;0.05
RoW_118;0.05
RoW_119;0.05
RoW_120;0.05
RoW_121;0.05
RoW_122;0.17
RoW_123;0.03
RoW_124;0.02
RoW_125;0.05
RoW_126;0.04
RoW_127;0.05
RoW_128;0.01
RoW_129;0.04
RoW_130;0.05
RoW_131;0.06
RoW_132;0.04
RoW_133;0.05
RoW_134;0.04
RoW_135;0.04
RoW_136;0.04
RoW_137;0.05
RoW_138;0.05
RoW_139;0.05
RoW_140;0.06
RoW_141;0.05
RoW_142;0.06
RoW_143;0.05
RoW_144;0.05
RoW_145;0.05
RoW_146;0.04
RoW_147;0.04
RoW_148;0.04
RoW_149;0.04
RoW_150;0.05
RoW_151;0.05
RoW_152;0.05
RoW_153;0.05
RoW_154;0.06
RoW_155;0.05
RoW_156;0.05
RoW_157;0.06
